Size;Test_Number;BFS;DFS;BestFS
Size 6;Test_Number 77;BFS 198;DFS 182;BestFS 393
Size 6;Test_Number 78;BFS 218;DFS 182;BestFS 385
Size 6;Test_Number 79;BFS 197;DFS 181;BestFS 380
Size 6;Test_Number 80;BFS 199;DFS 179;BestFS 385
Size 6;Test_Number 81;BFS 191;DFS 194;BestFS 384
Size 6;Test_Number 82;BFS 202;DFS 179;BestFS 385
Size 6;Test_Number 83;BFS 194;DFS 202;BestFS 385
Size 6;Test_Number 84;BFS 195;DFS 179;BestFS 389
Size 6;Test_Number 85;BFS 193;DFS 179;BestFS 380
Size 6;Test_Number 86;BFS 190;DFS 174;BestFS 395
Size 6;Test_Number 87;BFS 188;DFS 175;BestFS 400
Size 6;Test_Number 88;BFS 217;DFS 181;BestFS 372
Size 6;Test_Number 89;BFS 203;DFS 177;BestFS 381
Size 6;Test_Number 90;BFS 195;DFS 191;BestFS 459
Size 6;Test_Number 91;BFS 214;DFS 197;BestFS 436
Size 6;Test_Number 92;BFS 197;DFS 182;BestFS 406
Size 6;Test_Number 93;BFS 199;DFS 186;BestFS 394
Size 6;Test_Number 94;BFS 213;DFS 178;BestFS 424
Size 6;Test_Number 95;BFS 194;DFS 179;BestFS 390
Size 6;Test_Number 96;BFS 218;DFS 181;BestFS 387
Size 6;Test_Number 97;BFS 199;DFS 178;BestFS 383
Size 6;Test_Number 98;BFS 191;DFS 178;BestFS 385
Size 6;Test_Number 99;BFS 193;DFS 182;BestFS 395
Size 6;Test_Number 100;BFS 192;DFS 189;BestFS 385
Size 7;Test_Number 1;BFS 1287;DFS 1212;BestFS 2991
Size 7;Test_Number 2;BFS 1273;DFS 1145;BestFS 2891
Size 7;Test_Number 3;BFS 1213;DFS 1117;BestFS 3198
Size 7;Test_Number 4;BFS 1453;DFS 1110;BestFS 2920
Size 7;Test_Number 5;BFS 1182;DFS 1161;BestFS 3033
Size 7;Test_Number 6;BFS 1186;DFS 1093;BestFS 2965
Size 7;Test_Number 7;BFS 1330;DFS 1221;BestFS 3025
Size 7;Test_Number 8;BFS 1231;DFS 1118;BestFS 2939
Size 7;Test_Number 9;BFS 1215;DFS 1102;BestFS 3145
Size 7;Test_Number 10;BFS 1181;DFS 1230;BestFS 2871
Size 7;Test_Number 11;BFS 1258;DFS 1131;BestFS 3101
Size 7;Test_Number 12;BFS 1323;DFS 1146;BestFS 2943
Size 7;Test_Number 13;BFS 1100;DFS 1118;BestFS 3008
Size 7;Test_Number 14;BFS 1128;DFS 1140;BestFS 3209
Size 7;Test_Number 15;BFS 1163;DFS 1113;BestFS 3217
Size 7;Test_Number 16;BFS 1152;DFS 1070;BestFS 2905
Size 7;Test_Number 17;BFS 1135;DFS 1076;BestFS 2775
Size 7;Test_Number 18;BFS 1121;DFS 1158;BestFS 3114
Size 7;Test_Number 19;BFS 1212;DFS 1144;BestFS 2873
Size 7;Test_Number 20;BFS 1184;DFS 1266;BestFS 3024
Size 7;Test_Number 21;BFS 1276;DFS 1254;BestFS 2896
Size 7;Test_Number 22;BFS 1146;DFS 1172;BestFS 3075
Size 7;Test_Number 23;BFS 1182;DFS 1312;BestFS 2950
Size 7;Test_Number 24;BFS 1870;DFS 1112;BestFS 3018
Size 7;Test_Number 25;BFS 1239;DFS 1430;BestFS 2997
Size 7;Test_Number 26;BFS 1177;DFS 1077;BestFS 3428
Size 7;Test_Number 27;BFS 1143;DFS 1092;BestFS 3031
Size 7;Test_Number 28;BFS 1103;DFS 1092;BestFS 2850
Size 7;Test_Number 29;BFS 1105;DFS 1085;BestFS 3176
Size 7;Test_Number 30;BFS 1181;DFS 1083;BestFS 2929
Size 7;Test_Number 31;BFS 1157;DFS 1169;BestFS 2931
Size 7;Test_Number 32;BFS 1222;DFS 1069;BestFS 2910
Size 7;Test_Number 33;BFS 1148;DFS 1201;BestFS 2911
Size 7;Test_Number 34;BFS 1389;DFS 1174;BestFS 2767
Size 7;Test_Number 35;BFS 1111;DFS 1066;BestFS 2978
Size 7;Test_Number 36;BFS 1120;DFS 1070;BestFS 2848
Size 7;Test_Number 37;BFS 1116;DFS 1093;BestFS 2832
Size 7;Test_Number 38;BFS 1136;DFS 1070;BestFS 3000
Size 7;Test_Number 39;BFS 1239;DFS 1150;BestFS 3002
Size 7;Test_Number 40;BFS 1176;DFS 1135;BestFS 2838
Size 7;Test_Number 41;BFS 1201;DFS 1117;BestFS 3146
Size 7;Test_Number 42;BFS 1123;DFS 1080;BestFS 2953
Size 7;Test_Number 43;BFS 1108;DFS 1160;BestFS 2795
Size 7;Test_Number 44;BFS 1126;DFS 1102;BestFS 3050
Size 7;Test_Number 45;BFS 1141;DFS 1084;BestFS 3004
Size 7;Test_Number 46;BFS 1146;DFS 1084;BestFS 2781
Size 7;Test_Number 47;BFS 1124;DFS 1087;BestFS 2958
Size 7;Test_Number 48;BFS 1096;DFS 1070;BestFS 2878
Size 7;Test_Number 49;BFS 1120;DFS 1074;BestFS 2843
Size 7;Test_Number 50;BFS 1180;DFS 1080;BestFS 3104
Size 7;Test_Number 51;BFS 1173;DFS 1120;BestFS 2880
Size 7;Test_Number 52;BFS 1147;DFS 1183;BestFS 3008
Size 7;Test_Number 53;BFS 1202;DFS 1076;BestFS 2983
Size 7;Test_Number 54;BFS 1139;DFS 1215;BestFS 3326
Size 7;Test_Number 55;BFS 1167;DFS 1124;BestFS 2879
Size 7;Test_Number 56;BFS 1126;DFS 1131;BestFS 3190
Size 7;Test_Number 57;BFS 1124;DFS 1093;BestFS 2816
Size 7;Test_Number 58;BFS 1165;DFS 1130;BestFS 2991
Size 7;Test_Number 59;BFS 1133;DFS 1089;BestFS 3456
Size 7;Test_Number 60;BFS 1167;DFS 1127;BestFS 2910
Size 7;Test_Number 61;BFS 1266;DFS 1117;BestFS 3076
Size 7;Test_Number 62;BFS 1147;DFS 1362;BestFS 3062
Size 7;Test_Number 63;BFS 1182;DFS 1199;BestFS 3119
Size 7;Test_Number 64;BFS 1128;DFS 1099;BestFS 2921
Size 7;Test_Number 65;BFS 1162;DFS 1518;BestFS 3183
Size 7;Test_Number 66;BFS 1196;DFS 1102;BestFS 3027
Size 7;Test_Number 67;BFS 1196;DFS 1200;BestFS 3238
Size 7;Test_Number 68;BFS 1407;DFS 1122;BestFS 2835
Size 7;Test_Number 69;BFS 1182;DFS 1128;BestFS 2894
Size 7;Test_Number 70;BFS 1177;DFS 1114;BestFS 2824
Size 7;Test_Number 71;BFS 1352;DFS 1077;BestFS 2872
Size 7;Test_Number 72;BFS 1206;DFS 1072;BestFS 2926
Size 7;Test_Number 73;BFS 1151;DFS 1094;BestFS 2775
Size 7;Test_Number 74;BFS 1436;DFS 1085;BestFS 3171
Size 7;Test_Number 75;BFS 1118;DFS 1087;BestFS 2790
Size 7;Test_Number 76;BFS 1165;DFS 1265;BestFS 3147
Size 7;Test_Number 77;BFS 1161;DFS 1126;BestFS 2995
Size 7;Test_Number 78;BFS 1131;DFS 1129;BestFS 3256
Size 7;Test_Number 79;BFS 1231;DFS 1115;BestFS 3033
Size 7;Test_Number 80;BFS 1153;DFS 1187;BestFS 3007
Size 7;Test_Number 81;BFS 1274;DFS 1122;BestFS 2925
Size 7;Test_Number 82;BFS 1170;DFS 1258;BestFS 3106
Size 7;Test_Number 83;BFS 1256;DFS 1135;BestFS 2780
Size 7;Test_Number 84;BFS 1156;DFS 1102;BestFS 2787
Size 7;Test_Number 85;BFS 1146;DFS 1344;BestFS 2781
Size 7;Test_Number 86;BFS 1160;DFS 1082;BestFS 2856
Size 7;Test_Number 87;BFS 1199;DFS 1500;BestFS 3078
Size 7;Test_Number 88;BFS 1347;DFS 1098;BestFS 3110
Size 7;Test_Number 89;BFS 1186;DFS 1083;BestFS 2979
Size 7;Test_Number 90;BFS 1110;DFS 1073;BestFS 2781
Size 7;Test_Number 91;BFS 1115;DFS 1249;BestFS 3055
Size 7;Test_Number 92;BFS 1166;DFS 1149;BestFS 3075
Size 7;Test_Number 93;BFS 1208;DFS 1140;BestFS 2946
Size 7;Test_Number 94;BFS 1470;DFS 1103;BestFS 3002
Size 7;Test_Number 95;BFS 1176;DFS 1171;BestFS 2909
Size 7;Test_Number 96;BFS 1231;DFS 1166;BestFS 2987
Size 7;Test_Number 97;BFS 1527;DFS 1113;BestFS 2951
Size 7;Test_Number 98;BFS 1142;DFS 1277;BestFS 3654
Size 7;Test_Number 99;BFS 1364;DFS 1084;BestFS 2885
Size 7;Test_Number 100;BFS 1202;DFS 1126;BestFS 2909
Size 8;Test_Number 1;BFS 8668;DFS 8214;BestFS 26743
Size 8;Test_Number 2;BFS 8329;DFS 8269;BestFS 25529
Size 8;Test_Number 3;BFS 8613;DFS 8366;BestFS 27707
Size 8;Test_Number 4;BFS 8610;DFS 8296;BestFS 26679
Size 8;Test_Number 5;BFS 9033;DFS 8536;BestFS 26651
Size 8;Test_Number 6;BFS 8869;DFS 8426;BestFS 26633
Size 8;Test_Number 7;BFS 8971;DFS 8479;BestFS 26602
Size 8;Test_Number 8;BFS 8728;DFS 8044;BestFS 25732
Size 8;Test_Number 9;BFS 8834;DFS 8590;BestFS 26770
Size 8;Test_Number 10;BFS 9074;DFS 8508;BestFS 26916
Size 8;Test_Number 11;BFS 9423;DFS 8440;BestFS 26697
Size 8;Test_Number 12;BFS 9128;DFS 8570;BestFS 27615
Size 8;Test_Number 13;BFS 8938;DFS 8623;BestFS 27023
Size 8;Test_Number 14;BFS 9075;DFS 8798;BestFS 27618
Size 8;Test_Number 15;BFS 9045;DFS 8610;BestFS 25920
Size 8;Test_Number 16;BFS 8477;DFS 8127;BestFS 25955
Size 8;Test_Number 17;BFS 8871;DFS 8448;BestFS 26468
Size 8;Test_Number 18;BFS 8967;DFS 8285;BestFS 27108
Size 8;Test_Number 19;BFS 9043;DFS 8223;BestFS 26343
Size 8;Test_Number 20;BFS 9206;DFS 8606;BestFS 27275
Size 8;Test_Number 21;BFS 8678;DFS 8930;BestFS 26979
Size 8;Test_Number 22;BFS 8821;DFS 9082;BestFS 27076
Size 8;Test_Number 23;BFS 9077;DFS 8880;BestFS 27045
Size 8;Test_Number 24;BFS 9036;DFS 8531;BestFS 26935
Size 8;Test_Number 25;BFS 8839;DFS 8636;BestFS 27141
Size 8;Test_Number 26;BFS 8813;DFS 8857;BestFS 27638
Size 8;Test_Number 27;BFS 8866;DFS 8305;BestFS 26430
Size 8;Test_Number 28;BFS 8832;DFS 8193;BestFS 25549
Size 8;Test_Number 29;BFS 8617;DFS 8683;BestFS 26424
Size 8;Test_Number 30;BFS 8746;DFS 8785;BestFS 26651
Size 8;Test_Number 31;BFS 8770;DFS 8877;BestFS 26440
Size 8;Test_Number 32;BFS 8575;DFS 8687;BestFS 27666
Size 8;Test_Number 33;BFS 8955;DFS 8724;BestFS 27267
Size 8;Test_Number 34;BFS 8556;DFS 8701;BestFS 27338
Size 8;Test_Number 35;BFS 9203;DFS 8742;BestFS 26894
Size 8;Test_Number 36;BFS 8965;DFS 8442;BestFS 27123
Size 8;Test_Number 37;BFS 9476;DFS 8659;BestFS 27114
Size 8;Test_Number 38;BFS 9061;DFS 8459;BestFS 26204
Size 8;Test_Number 39;BFS 8565;DFS 8080;BestFS 25458
Size 8;Test_Number 40;BFS 8536;DFS 9075;BestFS 26012
Size 8;Test_Number 41;BFS 8676;DFS 8167;BestFS 26843
Size 8;Test_Number 42;BFS 8704;DFS 9017;BestFS 27111
Size 8;Test_Number 43;BFS 9079;DFS 8589;BestFS 27144
Size 8;Test_Number 44;BFS 9072;DFS 8829;BestFS 26979
Size 8;Test_Number 45;BFS 8527;DFS 8334;BestFS 25980
Size 8;Test_Number 46;BFS 8707;DFS 8090;BestFS 26156
Size 8;Test_Number 47;BFS 8689;DFS 8222;BestFS 26510
Size 8;Test_Number 48;BFS 8527;DFS 8229;BestFS 26222
Size 8;Test_Number 49;BFS 8954;DFS 8548;BestFS 27092
Size 8;Test_Number 50;BFS 8757;DFS 8239;BestFS 25947
Size 8;Test_Number 51;BFS 8376;DFS 8463;BestFS 26130
Size 8;Test_Number 52;BFS 8919;DFS 8023;BestFS 25067
Size 8;Test_Number 53;BFS 8444;DFS 8043;BestFS 25544
Size 8;Test_Number 54;BFS 8493;DFS 8564;BestFS 26239
Size 8;Test_Number 55;BFS 8505;DFS 8549;BestFS 26478
Size 8;Test_Number 56;BFS 9090;DFS 8786;BestFS 26723
Size 8;Test_Number 57;BFS 9595;DFS 8638;BestFS 25502
Size 8;Test_Number 58;BFS 8587;DFS 8089;BestFS 25908
Size 8;Test_Number 59;BFS 8529;DFS 8360;BestFS 26842
Size 8;Test_Number 60;BFS 8710;DFS 8875;BestFS 26994
Size 8;Test_Number 61;BFS 8902;DFS 9099;BestFS 26179
Size 8;Test_Number 62;BFS 8358;DFS 8160;BestFS 25754
Size 8;Test_Number 63;BFS 8844;DFS 8348;BestFS 26188
Size 8;Test_Number 64;BFS 9344;DFS 8392;BestFS 27331
Size 8;Test_Number 65;BFS 9615;DFS 8709;BestFS 27365
Size 8;Test_Number 66;BFS 8970;DFS 8768;BestFS 27510
Size 8;Test_Number 67;BFS 8626;DFS 9013;BestFS 26686
Size 8;Test_Number 68;BFS 8568;DFS 8783;BestFS 26956
Size 8;Test_Number 69;BFS 8856;DFS 9032;BestFS 26533
Size 8;Test_Number 70;BFS 8956;DFS 8740;BestFS 27184
Size 8;Test_Number 71;BFS 9349;DFS 8397;BestFS 27839
Size 8;Test_Number 72;BFS 8660;DFS 8706;BestFS 25827
Size 8;Test_Number 73;BFS 8725;DFS 8542;BestFS 25678
Size 8;Test_Number 74;BFS 8491;DFS 8214;BestFS 26561
Size 8;Test_Number 75;BFS 8972;DFS 8247;BestFS 25719
Size 8;Test_Number 76;BFS 8410;DFS 8191;BestFS 25486
Size 8;Test_Number 77;BFS 8459;DFS 8431;BestFS 26576
Size 8;Test_Number 78;BFS 8618;DFS 8465;BestFS 27172
Size 8;Test_Number 79;BFS 8972;DFS 8531;BestFS 27275
Size 8;Test_Number 80;BFS 8950;DFS 8874;BestFS 26443
Size 8;Test_Number 81;BFS 8829;DFS 8684;BestFS 27453
Size 8;Test_Number 82;BFS 8951;DFS 8623;BestFS 26804
Size 8;Test_Number 83;BFS 8779;DFS 8522;BestFS 27535
Size 8;Test_Number 84;BFS 8405;DFS 8246;BestFS 25866
Size 8;Test_Number 85;BFS 8403;DFS 8399;BestFS 25609
Size 8;Test_Number 86;BFS 8659;DFS 8310;BestFS 26662
Size 8;Test_Number 87;BFS 8952;DFS 8776;BestFS 26761
Size 8;Test_Number 88;BFS 8867;DFS 8816;BestFS 26982
Size 8;Test_Number 89;BFS 8442;DFS 8578;BestFS 25603
Size 8;Test_Number 90;BFS 9000;DFS 8551;BestFS 25744
Size 8;Test_Number 91;BFS 8612;DFS 8130;BestFS 26111
Size 8;Test_Number 92;BFS 8543;DFS 8576;BestFS 26262
Size 8;Test_Number 93;BFS 9341;DFS 8466;BestFS 27366
Size 8;Test_Number 94;BFS 8521;DFS 8798;BestFS 27092
Size 8;Test_Number 95;BFS 9001;DFS 8934;BestFS 26676
Size 8;Test_Number 96;BFS 8531;DFS 8468;BestFS 25652
Size 8;Test_Number 97;BFS 8140;DFS 8138;BestFS 26568
Size 8;Test_Number 98;BFS 8761;DFS 8176;BestFS 26749
Size 8;Test_Number 99;BFS 8683;DFS 8027;BestFS 25488
Size 8;Test_Number 100;BFS 8354;DFS 8047;BestFS 25586
Size 9;Test_Number 1;BFS 73759;DFS 69804;BestFS 274867
Size 9;Test_Number 2;BFS 76036;DFS 69517;BestFS 271956
Size 9;Test_Number 3;BFS 75607;DFS 71435;BestFS 274476
Size 9;Test_Number 4;BFS 75319;DFS 70751;BestFS 273527
Size 9;Test_Number 5;BFS 76580;DFS 72134;BestFS 270208
Size 9;Test_Number 6;BFS 75876;DFS 70184;BestFS 273736
Size 9;Test_Number 7;BFS 73798;DFS 69847;BestFS 264188
Size 9;Test_Number 8;BFS 72891;DFS 68567;BestFS 267186
Size 9;Test_Number 9;BFS 75770;DFS 72178;BestFS 268337
Size 9;Test_Number 10;BFS 74999;DFS 71912;BestFS 280173
Size 9;Test_Number 11;BFS 73004;DFS 68557;BestFS 271711
Size 9;Test_Number 12;BFS 75490;DFS 68834;BestFS 270651
Size 9;Test_Number 13;BFS 72597;DFS 68854;BestFS 275799
Size 9;Test_Number 14;BFS 75849;DFS 70957;BestFS 268167
Size 9;Test_Number 15;BFS 72698;DFS 69472;BestFS 268631
Size 9;Test_Number 16;BFS 75377;DFS 72146;BestFS 277043
Size 9;Test_Number 17;BFS 71503;DFS 75999;BestFS 274321
Size 9;Test_Number 18;BFS 74202;DFS 68508;BestFS 280636
Size 9;Test_Number 19;BFS 75121;DFS 68220;BestFS 264611
Size 9;Test_Number 20;BFS 72331;DFS 72857;BestFS 269632
Size 9;Test_Number 21;BFS 73032;DFS 69603;BestFS 267449
Size 9;Test_Number 22;BFS 75525;DFS 71733;BestFS 287653
Size 9;Test_Number 23;BFS 73182;DFS 70277;BestFS 272710
Size 9;Test_Number 24;BFS 73344;DFS 71501;BestFS 272648
Size 9;Test_Number 25;BFS 73873;DFS 69998;BestFS 269946
Size 9;Test_Number 26;BFS 74480;DFS 71233;BestFS 269196
Size 9;Test_Number 27;BFS 76745;DFS 69287;BestFS 273540
Size 9;Test_Number 28;BFS 74583;DFS 68428;BestFS 271042
Size 9;Test_Number 29;BFS 73854;DFS 72065;BestFS 273085
Size 9;Test_Number 30;BFS 73187;DFS 69327;BestFS 268841
Size 9;Test_Number 31;BFS 73551;DFS 67772;BestFS 271895
Size 9;Test_Number 32;BFS 72630;DFS 69195;BestFS 269306
Size 9;Test_Number 33;BFS 75112;DFS 68380;BestFS 272423
Size 9;Test_Number 34;BFS 76076;DFS 71090;BestFS 274311
Size 9;Test_Number 35;BFS 75208;DFS 68289;BestFS 271930
Size 9;Test_Number 36;BFS 74619;DFS 72417;BestFS 271195
Size 9;Test_Number 37;BFS 70509;DFS 71870;BestFS 270115
Size 9;Test_Number 38;BFS 75420;DFS 69258;BestFS 273075
Size 9;Test_Number 39;BFS 74478;DFS 68533;BestFS 270457
Size 9;Test_Number 40;BFS 71308;DFS 67992;BestFS 264977
Size 9;Test_Number 41;BFS 72221;DFS 69174;BestFS 274851
Size 9;Test_Number 42;BFS 73690;DFS 72072;BestFS 273538
Size 9;Test_Number 43;BFS 71706;DFS 70008;BestFS 270946
Size 9;Test_Number 44;BFS 79806;DFS 71101;BestFS 274196
Size 9;Test_Number 45;BFS 73407;DFS 70096;BestFS 269199
Size 9;Test_Number 46;BFS 79924;DFS 75039;BestFS 294717
Size 9;Test_Number 47;BFS 76682;DFS 70322;BestFS 283016
Size 9;Test_Number 48;BFS 75751;DFS 70388;BestFS 290028
Size 9;Test_Number 49;BFS 75359;DFS 68981;BestFS 269615
Size 9;Test_Number 50;BFS 74925;DFS 72679;BestFS 263963
Size 9;Test_Number 51;BFS 81358;DFS 75023;BestFS 275788
Size 9;Test_Number 52;BFS 71194;DFS 72128;BestFS 264425
Size 9;Test_Number 53;BFS 73415;DFS 70568;BestFS 277287
Size 9;Test_Number 54;BFS 73862;DFS 68167;BestFS 267947
Size 9;Test_Number 55;BFS 73161;DFS 67692;BestFS 265610
Size 9;Test_Number 56;BFS 72281;DFS 68995;BestFS 272086
Size 9;Test_Number 57;BFS 74314;DFS 71496;BestFS 271586
Size 9;Test_Number 58;BFS 71878;DFS 70956;BestFS 273015
Size 9;Test_Number 59;BFS 75567;DFS 68370;BestFS 267155
Size 9;Test_Number 60;BFS 73552;DFS 68529;BestFS 275773
Size 9;Test_Number 61;BFS 73745;DFS 71524;BestFS 273105
Size 9;Test_Number 62;BFS 75180;DFS 72307;BestFS 272706
Size 9;Test_Number 63;BFS 70990;DFS 70961;BestFS 274574
Size 9;Test_Number 64;BFS 71854;DFS 68396;BestFS 274427
Size 9;Test_Number 65;BFS 74959;DFS 71904;BestFS 268188
Size 9;Test_Number 66;BFS 73654;DFS 70680;BestFS 270976
Size 9;Test_Number 67;BFS 74051;DFS 70919;BestFS 268770
Size 9;Test_Number 68;BFS 72822;DFS 71221;BestFS 276867
Size 9;Test_Number 69;BFS 74238;DFS 70720;BestFS 268349
Size 9;Test_Number 70;BFS 74474;DFS 70678;BestFS 270357
Size 9;Test_Number 71;BFS 74442;DFS 72806;BestFS 273741
Size 9;Test_Number 72;BFS 72061;DFS 68984;BestFS 272461
Size 9;Test_Number 73;BFS 72144;DFS 69917;BestFS 273793
Size 9;Test_Number 74;BFS 76026;DFS 69168;BestFS 270190
Size 9;Test_Number 75;BFS 73442;DFS 72457;BestFS 265806
Size 9;Test_Number 76;BFS 74068;DFS 68413;BestFS 275330
Size 9;Test_Number 77;BFS 75824;DFS 69634;BestFS 277528
Size 9;Test_Number 78;BFS 73140;DFS 71999;BestFS 276847
Size 9;Test_Number 79;BFS 75301;DFS 71317;BestFS 271834
Size 9;Test_Number 80;BFS 75720;DFS 71298;BestFS 267266
Size 9;Test_Number 81;BFS 74534;DFS 72547;BestFS 271345
Size 9;Test_Number 82;BFS 74318;DFS 71919;BestFS 276267
Size 9;Test_Number 83;BFS 75284;DFS 73355;BestFS 277923
Size 9;Test_Number 84;BFS 73695;DFS 73418;BestFS 272951
Size 9;Test_Number 85;BFS 73450;DFS 70623;BestFS 275802
Size 9;Test_Number 86;BFS 76479;DFS 70908;BestFS 269316
Size 9;Test_Number 87;BFS 74304;DFS 72751;BestFS 273999
Size 9;Test_Number 88;BFS 71874;DFS 71074;BestFS 271366
Size 9;Test_Number 89;BFS 73113;DFS 69426;BestFS 264900
Size 9;Test_Number 90;BFS 76300;DFS 71144;BestFS 273601
Size 9;Test_Number 91;BFS 75232;DFS 69768;BestFS 270775
Size 9;Test_Number 92;BFS 75390;DFS 72401;BestFS 275599
Size 9;Test_Number 93;BFS 73916;DFS 71244;BestFS 273679
Size 9;Test_Number 94;BFS 74570;DFS 72192;BestFS 280801
Size 9;Test_Number 95;BFS 75179;DFS 70003;BestFS 270159
Size 9;Test_Number 96;BFS 76280;DFS 69964;BestFS 278403
Size 9;Test_Number 97;BFS 73670;DFS 71628;BestFS 277693
Size 9;Test_Number 98;BFS 74269;DFS 73040;BestFS 276700
Size 9;Test_Number 99;BFS 74364;DFS 70938;BestFS 273119
Size 9;Test_Number 100;BFS 72447;DFS 70590;BestFS 277888
